hrf_time,hrf1,hrf2,hrf3,hrf4,hrf5,hrf6,hrf7,hrf8,hrf9,hrf10,hrf11,hrf12,hrf13,hrf14,hrf15,hrf16,hrf17,hrf18
2.5,0.521684897598698,0.474465492981242,0.551443738944398,0.424918879367601,0.478331221404652,0.380852502797576,0.417733209852665,0.386247274252508,0.368105146375124,0.693001481177614,0.663436393931365,0.678134567770432,0.617862270107749,0.641047398232469,0.579332149718763,0.51121743486412,0.41818437100412,0.278315342892324
2.75,0.572504018990942,0.521164256526516,0.595945003583251,0.466973791430395,0.518663245494833,0.418323668310607,0.45459803427831,0.421784673342476,0.403359223280724,0.752393796295026,0.723121783439746,0.737730450936664,0.678547398160878,0.701100304889241,0.639255759155312,0.568443440986576,0.470505900265158,0.321319306413424
3,0.622529892674244,0.567558219039196,0.639260721291098,0.509123337386804,0.558439584440316,0.456162360721539,0.491389006555434,0.457521544336383,0.438999575075611,0.807853605911459,0.779507564783736,0.79371821602921,0.736733145046407,0.758287540195713,0.697373350549557,0.624916602554093,0.52321735803934,0.366024978558022
3.25,0.671444839190678,0.613450910064477,0.681176455494898,0.551277417052861,0.597552415528094,0.494362880170605,0.528076964570636,0.493464621815376,0.47505005004788,0.858428156131125,0.831733285373213,0.845191778551352,0.791645554697253,0.81180403860904,0.753024411863874,0.680164598086923,0.57605763964663,0.412431863398855
3.5,0.718766946660612,0.658492030078292,0.721437224292085,0.593207019595311,0.635836273087774,0.532800029065469,0.564560854164163,0.529534532231881,0.511433314490609,0.903047805278023,0.878787995129422,0.891110479007721,0.842299244620544,0.860666369980667,0.805309165311787,0.733445382932915,0.628470388924069,0.46023184218694
3.75,0.763973244525516,0.702292822016911,0.759777905495203,0.634648406426798,0.673111277986403,0.571318735272511,0.600721646448634,0.565630373986505,0.548046738756687,0.940613685537822,0.919623116681041,0.93040001062124,0.887655974920658,0.903846511097388,0.853268017100324,0.78394948373311,0.679825440695476,0.50903989621968
4,0.806540759070828,0.744464526127341,0.795933369453339,0.675337836625509,0.709197545357885,0.609763924441605,0.636440308235815,0.601651242135078,0.584787690619809,0.970026921486467,0.953190066607359,0.961986059814552,0.926677502319726,0.940316433947695,0.895941371583139,0.830867427383059,0.729492632392897,0.558471012098884
4.25,0.845946521741384,0.784618387290637,0.82963850338802,0.715011573613659,0.743915203374718,0.647980526782884,0.671597816159375,0.637496239303503,0.621553543544695,0.990188651149875,0.978440271343577,0.984794324588766,0.958325586913322,0.96904811740563,0.932369633101299,0.873389736290489,0.776841792024021,0.608140161541078
4.5,0.881667561703509,0.822365648734792,0.860628179589463,0.753405879440166,0.777084369372122,0.685813470803809,0.706075139416379,0.673064463089192,0.658241668002869,1,0.994325148938447,0.997750492560688,0.981561987693445,0.989013535342162,0.961593208821402,0.910706940869448,0.821242761166798,0.657662335750788
4.75,0.913225522102696,0.857329616897764,0.888671387214882,0.790241869097597,0.808527360111839,0.723072476627696,0.739731889304895,0.708221709099735,0.694709112767494,0.998598322159809,1,1,0.99551761523923,0.999367977304889,0.982784358426094,0.942082485378462,0.862074358698918,0.706587022862233
